Intermediate Region Code,Sub-region Code,Intermediate Region Name
14,202,Eastern Africa
17,202,Middle Africa
18,202,Southern Africa
11,202,Western Africa
29,419,Caribbean
13,419,Central America
5,419,South America
830,154,Channel Islands
